LPID,ADate,StartTime,StopTime,DayNight,SCC,CenterLatdec,CenterLongdec
_203052_,01/09/2013,2013:244:11:17:41.1025170,2013:244:11:18:12.8725130,DAY,83.81,11.56766,-14.216
_203053_,01/09/2013,2013:244:11:18:05.0104980,2013:244:11:18:36.7804940,DAY,53.95,10.1227,-14.53053
_198052_,29/08/2013,2013:241:10:46:47.3088850,2013:241:10:47:19.0788810,DAY,54.52,11.56739,-6.49065
_198053_,29/08/2013,2013:241:10:47:11.2168660,2013:241:10:47:42.9868620,DAY,65.56,10.12245,-6.80518
_198054_,29/08/2013,2013:241:10:47:35.1333190,2013:241:10:48:06.9033150,DAY,88.88,8.67678,-7.11791
_198055_,29/08/2013,2013:241:10:47:59.0455360,2013:241:10:48:30.8155320,DAY,92.36,7.23115,-7.42895
_200055_,27/08/2013,2013:239:11:00:20.6733250,2013:239:11:00:52.4433210,DAY,83.8,7.23141,-10.51812
_204051_,23/08/2013,2013:235:11:23:27.8943350,2013:235:11:23:59.6643310,DAY,60.17,13.01247,-15.43986
_204052_,23/08/2013,2013:235:11:23:51.8023160,2013:235:11:24:23.5723120,DAY,42.07,11.56777,-15.75662
_199051_,20/08/2013,2013:232:10:52:33.1307680,2013:232:10:53:04.9007640,DAY,55.39,13.01262,-7.71089
_199052_,20/08/2013,2013:232:10:52:57.0472210,2013:232:10:53:28.8172170,DAY,87.45,11.5674,-8.02781
_199053_,20/08/2013,2013:232:10:53:20.9552020,2013:232:10:53:52.7251980,DAY,99.92,10.12245,-8.34239
_199054_,20/08/2013,2013:232:10:53:44.8716540,2013:232:10:54:16.6416510,DAY,99.95,8.6768,-8.65519
_199055_,20/08/2013,2013:232:10:54:08.7796360,2013:232:10:54:40.5496310,DAY,99.97,7.23136,-8.96617
_201051_,18/08/2013,2013:230:11:04:54.0765630,2013:230:11:05:25.8465590,DAY,92.73,13.01272,-10.79791
_203051_,16/08/2013,2013:228:11:17:14.9205510,2013:228:11:17:46.6905470,DAY,100,13.01264,-13.88441
_203052_,16/08/2013,2013:228:11:17:38.8327680,2013:228:11:18:10.6027640,DAY,99.99,11.56769,-14.20128
_203053_,16/08/2013,2013:228:11:18:02.7449850,2013:228:11:18:34.5149810,DAY,100,10.12244,-14.51594
_198053_,13/08/2013,2013:225:10:47:08.6374930,2013:225:10:47:40.4074900,DAY,100,10.12269,-6.78959
_198054_,13/08/2013,2013:225:10:47:32.5497100,2013:225:10:48:04.3197060,DAY,94.23,8.67717,-7.10229
_198055_,13/08/2013,2013:225:10:47:56.4661630,2013:225:10:48:28.2361590,DAY,90.77,7.23128,-7.4134
_200051_,11/08/2013,2013:223:10:58:42.6694080,2013:223:10:59:14.4394040,DAY,46.69,13.01226,-9.24882
_200052_,11/08/2013,2013:223:10:59:06.5773890,2013:223:10:59:38.3473850,DAY,99.96,11.56745,-9.56558
_200053_,11/08/2013,2013:223:10:59:30.4853700,2013:223:11:00:02.2553660,DAY,95.05,10.12249,-9.8802
_200054_,11/08/2013,2013:223:10:59:54.3975870,2013:223:11:00:26.1675830,DAY,96.5,8.67692,-10.19288
_200055_,11/08/2013,2013:223:11:00:18.3140400,2013:223:11:00:50.0840360,DAY,93.05,7.23104,-10.50403
_202054_,09/08/2013,2013:221:11:12:16.1440060,2013:221:11:12:47.9140020,DAY,94.76,8.67714,-13.28319
_202055_,09/08/2013,2013:221:11:12:40.0562230,2013:221:11:13:11.8262190,DAY,75.13,7.23139,-13.59426
_204051_,07/08/2013,2013:219:11:23:26.0816270,2013:219:11:23:57.8516230,DAY,93.57,13.01244,-15.42915
_204052_,07/08/2013,2013:219:11:23:49.9896080,2013:219:11:24:21.7596040,DAY,14.83,11.56766,-15.74599
_199051_,04/08/2013,2013:216:10:52:31.9152100,2013:216:10:53:03.6852060,DAY,8.22,13.01226,-7.70358
_199052_,04/08/2013,2013:216:10:52:55.8189550,2013:216:10:53:27.5889510,DAY,50.83,11.56773,-8.02041
_199053_,04/08/2013,2013:216:10:53:19.7269360,2013:216:10:53:51.4969320,DAY,93.49,10.12267,-8.33504
_199054_,04/08/2013,2013:216:10:53:43.6433890,2013:216:10:54:15.4133850,DAY,100,8.67683,-8.64787
_199055_,04/08/2013,2013:216:10:54:07.5556060,2013:216:10:54:39.3256020,DAY,99.95,7.23111,-8.95901
_201051_,02/08/2013,2013:214:11:04:53.2887760,2013:214:11:05:25.0587720,DAY,82.66,13.01231,-10.79273
_201052_,02/08/2013,2013:214:11:05:17.1967570,2013:214:11:05:48.9667530,DAY,55.16,11.56748,-11.10957
_201053_,02/08/2013,2013:214:11:05:41.1047380,2013:214:11:06:12.8747340,DAY,86.12,10.12236,-11.42421
_201054_,02/08/2013,2013:214:11:06:05.0127190,2013:214:11:06:36.7827150,DAY,97.23,8.67708,-11.73693
_201055_,02/08/2013,2013:214:11:06:28.9291720,2013:214:11:07:00.6991680,DAY,84.14,7.23106,-12.04814
_203051_,31/07/2013,2013:212:11:17:14.5817600,2013:212:11:17:46.3517560,DAY,43.01,13.01243,-13.88141
_203052_,31/07/2013,2013:212:11:17:38.4897410,2013:212:11:18:10.2597370,DAY,77.55,11.56757,-14.19825
_203053_,31/07/2013,2013:212:11:18:02.3977220,2013:212:11:18:34.1677180,DAY,18.27,10.12246,-14.5129
_198052_,28/07/2013,2013:209:10:46:43.8064630,2013:209:10:47:15.5764590,DAY,39.5,11.56744,-6.47026
_198053_,28/07/2013,2013:209:10:47:07.7144440,2013:209:10:47:39.4844400,DAY,27.08,10.12229,-6.78488
_198054_,28/07/2013,2013:209:10:47:31.6181890,2013:209:10:48:03.3881850,DAY,62.55,8.67712,-7.09751
_198055_,28/07/2013,2013:209:10:47:55.5304060,2013:209:10:48:27.3004020,DAY,100,7.23138,-7.40867
